epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7680103778839111,0.6591031551361084,0.879992663860321,0.41337642073631287,0.0010000000474974513
2,0.8718148469924927,0.37955981492996216,0.9057477116584778,0.28057071566581726,0.0010000000474974513
3,0.8879156112670898,0.3291527330875397,0.9025207161903381,0.27780938148498535,0.0010000000474974513
4,0.898361086845398,0.29954802989959717,0.9061738848686218,0.25802499055862427,0.0010000000474974513
5,0.9036691784858704,0.28261569142341614,0.905321478843689,0.2522794306278229,0.0010000000474974513
6,0.9077061414718628,0.27175721526145935,0.9085484743118286,0.23314312100410461,0.0010000000474974513
7,0.9101424217224121,0.2639494240283966,0.9060521125793457,0.24088239669799805,0.0010000000474974513
8,0.9133201837539673,0.2558693587779999,0.9051997065544128,0.24506723880767822,0.0010000000474974513
9,0.9147560596466064,0.2511640787124634,0.9136629104614258,0.21044239401817322,0.0010000000474974513
10,0.9164538383483887,0.24658027291297913,0.9162810444831848,0.20840075612068176,0.0010000000474974513
11,0.9177661538124084,0.2428097277879715,0.9196298122406006,0.1897389441728592,0.0010000000474974513
12,0.9185458421707153,0.24063290655612946,0.9157330989837646,0.21031120419502258,0.0010000000474974513
