Old Model,Old F1-Macro,Old Kappa,New Model,New F1-Macro,New Kappa,F1-Macro Delta
DH1: PCNN+PTCNN,0.7893614694710563,0.832253996290855,DH1v2: PCNN_v2+RF,0.8394043168038481,0.8853400653313724,0.05004284733279174
DH2: PCNN+RF,0.8352956105674003,0.8787480948891228,DH2v2: PCNN_v2+XGB,0.869572709650354,0.9125064962998823,0.03427709908295373
DH3: PTCNN+RF,0.8049237177862203,0.8479477994591998,DH3v2: RF+XGB,0.897245088725055,0.9305882294765575,0.09232137093883475
PROPOSED (old meta-learner),0.8203970111387353,0.8667411488976857,PROPOSED v2 (new meta-learner),0.9439302943139143,0.9632102864896678,0.12353328317517898
