epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7766227126121521,0.6499283909797668,0.8964320421218872,0.34549716114997864,0.0003000000142492354
2,0.8812981843948364,0.35603758692741394,0.9056867957115173,0.2892566919326782,0.0003000000142492354
3,0.897990345954895,0.30523255467414856,0.9084267020225525,0.2650969624519348,0.0003000000142492354
4,0.9062643647193909,0.28037533164024353,0.9112883806228638,0.24205456674098969,0.0003000000142492354
5,0.9112311005592346,0.2644074857234955,0.9088528752326965,0.239748015999794,0.0003000000142492354
6,0.9152562618255615,0.25255051255226135,0.9140282273292542,0.23003721237182617,0.0003000000142492354
7,0.917616069316864,0.24460646510124207,0.9150633215904236,0.21937456727027893,0.0003000000142492354
8,0.9202407002449036,0.2375205010175705,0.9212737679481506,0.21023432910442352,0.0003000000142492354
9,0.9221974015235901,0.2310873419046402,0.9202386736869812,0.20748469233512878,0.0003000000142492354
10,0.9237892031669617,0.2253350466489792,0.9232829809188843,0.20215527713298798,0.0003000000142492354
11,0.9254104495048523,0.22150570154190063,0.9266926646232605,0.19433282315731049,0.0003000000142492354
12,0.9266050457954407,0.2189161777496338,0.9234656691551208,0.2041543424129486,0.0003000000142492354
13,0.927261233329773,0.21647505462169647,0.9293107390403748,0.1891668289899826,0.0003000000142492354
14,0.9281527400016785,0.21275529265403748,0.9298587441444397,0.18949756026268005,0.0003000000142492354
15,0.9298328757286072,0.20906959474086761,0.9247442483901978,0.20113898813724518,0.0003000000142492354
16,0.9305360913276672,0.20646721124649048,0.929128110408783,0.1881517469882965,0.0003000000142492354
17,0.9307038187980652,0.2048788219690323,0.9313200116157532,0.18441520631313324,0.0003000000142492354
18,0.9315188527107239,0.20382027328014374,0.9326595067977905,0.18709824979305267,0.0003000000142492354
19,0.9320073127746582,0.20124033093452454,0.9319288730621338,0.18577693402767181,0.0003000000142492354
20,0.932684063911438,0.19959606230258942,0.9302240610122681,0.18606017529964447,0.0003000000142492354
21,0.9331371784210205,0.1977235972881317,0.9332075119018555,0.18224576115608215,0.0003000000142492354
22,0.9332048296928406,0.1973991096019745,0.9282757043838501,0.19448252022266388,0.0003000000142492354
23,0.9339198470115662,0.19615082442760468,0.929554283618927,0.1908799558877945,0.0003000000142492354
24,0.9339227676391602,0.1955384463071823,0.9355821013450623,0.1758960634469986,0.0003000000142492354
25,0.9345201253890991,0.19349204003810883,0.9336336851119995,0.17690560221672058,0.0003000000142492354
26,0.9350203275680542,0.19264236092567444,0.9332683682441711,0.1830415278673172,0.0003000000142492354
27,0.9354057312011719,0.19106464087963104,0.9333901405334473,0.18079668283462524,0.0003000000142492354
28,0.9351791739463806,0.1904030591249466,0.9325986504554749,0.18269741535186768,0.0003000000142492354
29,0.9353704452514648,0.19158117473125458,0.9387481808662415,0.16423137485980988,0.0003000000142492354
30,0.9352321624755859,0.19041526317596436,0.9335119128227234,0.1809362918138504,0.0003000000142492354
31,0.9356117248535156,0.190585196018219,0.934120774269104,0.17954471707344055,0.0003000000142492354
32,0.936164915561676,0.18916337192058563,0.9338163733482361,0.1815153807401657,0.0003000000142492354
33,0.9358941912651062,0.18970075249671936,0.936312735080719,0.17407283186912537,0.0003000000142492354
34,0.9366739392280579,0.18741945922374725,0.935764729976654,0.17252646386623383,0.0003000000142492354
35,0.9367415904998779,0.18689411878585815,0.9343034625053406,0.17626051604747772,0.0003000000142492354
36,0.9372829794883728,0.18519674241542816,0.9355821013450623,0.1754309982061386,0.0001500000071246177
37,0.9373006820678711,0.18451499938964844,0.9360691905021667,0.17369674146175385,0.0001500000071246177
38,0.9372447729110718,0.1846109926700592,0.9332683682441711,0.17963305115699768,0.0001500000071246177
39,0.9375272393226624,0.18383826315402985,0.9340599179267883,0.17740608751773834,0.0001500000071246177
40,0.9378126263618469,0.18424943089485168,0.9370433688163757,0.17050035297870636,0.0001500000071246177
41,0.9374977946281433,0.18381820619106293,0.9364953637123108,0.17267422378063202,0.0001500000071246177
42,0.9377685189247131,0.18401364982128143,0.9369824528694153,0.170319065451622,7.500000356230885e-05
43,0.937441885471344,0.18374449014663696,0.9370433688163757,0.17046892642974854,7.500000356230885e-05
44,0.9384717345237732,0.18134723603725433,0.937286913394928,0.1704411506652832,7.500000356230885e-05
45,0.9384981989860535,0.18229231238365173,0.936738908290863,0.17208175361156464,7.500000356230885e-05
46,0.9381980895996094,0.1829550564289093,0.9363735914230347,0.17188329994678497,7.500000356230885e-05
47,0.9384246468544006,0.18190120160579681,0.9357038736343384,0.1726887822151184,7.500000356230885e-05
48,0.9383775591850281,0.1817847639322281,0.9365562796592712,0.17156052589416504,3.7500001781154424e-05
49,0.9387718439102173,0.18124426901340485,0.936312735080719,0.1715245246887207,3.7500001781154424e-05
