epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7605072855949402,0.6526639461517334,0.870007336139679,0.4612766206264496,0.0010000000474974513
2,0.851780116558075,0.4094921350479126,0.89131760597229,0.3655049502849579,0.0010000000474974513
3,0.8773642182350159,0.34779003262519836,0.8910131454467773,0.3606603741645813,0.0010000000474974513
4,0.8896133899688721,0.3158424496650696,0.8896127343177795,0.3550156354904175,0.0010000000474974513
5,0.8972017765045166,0.29718735814094543,0.900754988193512,0.3156571686267853,0.0010000000474974513
6,0.9004148840904236,0.2856917977333069,0.908913791179657,0.30210554599761963,0.0010000000474974513
7,0.904625415802002,0.2742067277431488,0.910862147808075,0.28180232644081116,0.0010000000474974513
8,0.9077385067939758,0.2671597898006439,0.9109839200973511,0.2875511944293976,0.0010000000474974513
9,0.9098187685012817,0.26187655329704285,0.9132367372512817,0.27625662088394165,0.0010000000474974513
10,0.9106779098510742,0.257693350315094,0.9097052812576294,0.2805614769458771,0.0010000000474974513
11,0.9116194844245911,0.25349870324134827,0.9088528752326965,0.28244295716285706,0.0010000000474974513
12,0.9132113456726074,0.2500012516975403,0.9091573357582092,0.2778671085834503,0.0010000000474974513
