epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8597186803817749,0.4020911753177643,0.915124237537384,0.21909666061401367,0.0010000000474974513
2,0.9290884733200073,0.20774109661579132,0.9222479462623596,0.19313542544841766,0.0010000000474974513
3,0.9396634101867676,0.17640092968940735,0.9293107390403748,0.17477795481681824,0.0010000000474974513
4,0.9451186060905457,0.15850989520549774,0.9341816902160645,0.16395731270313263,0.0010000000474974513
5,0.9490231275558472,0.1475340723991394,0.9396005868911743,0.15896165370941162,0.0010000000474974513
6,0.9513976573944092,0.13967925310134888,0.9414271712303162,0.14984548091888428,0.0010000000474974513
7,0.953380823135376,0.13523752987384796,0.9438626170158386,0.14456692337989807,0.0010000000474974513
8,0.955393373966217,0.13023939728736877,0.9409400820732117,0.1522662490606308,0.0010000000474974513
9,0.9565379619598389,0.12523570656776428,0.9415489435195923,0.14897124469280243,0.0010000000474974513
10,0.9574354290962219,0.1236247643828392,0.9457501173019409,0.14176525175571442,0.0010000000474974513
11,0.9582445621490479,0.12112482637166977,0.9469069838523865,0.13813285529613495,0.0010000000474974513
12,0.9591949582099915,0.11903969943523407,0.9455065727233887,0.1386539191007614,0.0010000000474974513
