epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8726593255996704,0.36532071232795715,0.912506103515625,0.223407581448555,0.0010000000474974513
2,0.9350732564926147,0.18716831505298615,0.9338772296905518,0.16626614332199097,0.0010000000474974513
3,0.9460160136222839,0.15489844977855682,0.9450803995132446,0.14509308338165283,0.0010000000474974513
4,0.9514888525009155,0.1387147754430771,0.9400268197059631,0.15475310385227203,0.0010000000474974513
5,0.9558877348899841,0.1282396912574768,0.946419894695282,0.14572979509830475,0.0010000000474974513
6,0.9580298066139221,0.120414599776268,0.9441670775413513,0.14958421885967255,0.0010000000474974513
7,0.96028071641922,0.11437460780143738,0.9507428407669067,0.13015727698802948,0.0005000000237487257
8,0.9614782333374023,0.11029309034347534,0.9508036971092224,0.1252291351556778,0.0005000000237487257
9,0.9629052877426147,0.10645164549350739,0.9479420185089111,0.1368706375360489,0.0005000000237487257
10,0.9634025692939758,0.10460639744997025,0.9518996477127075,0.12819838523864746,0.0005000000237487257
11,0.9642470479011536,0.10288690775632858,0.9539697766304016,0.12266192585229874,0.0005000000237487257
12,0.96486496925354,0.1014583557844162,0.9528738260269165,0.12208842486143112,0.0005000000237487257
