epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7706065773963928,0.7413160800933838,0.9631658792495728,0.15048696100711823,0.0010000000474974513
2,0.9196285605430603,0.25459176301956177,0.9582952857017517,0.14965003728866577,0.0010000000474974513
3,0.9305121898651123,0.21285384893417358,0.9522070288658142,0.16345027089118958,0.0010000000474974513
4,0.9290661215782166,0.20984070003032684,0.9522070288658142,0.16383807361125946,0.0010000000474974513
5,0.9328715801239014,0.1994037628173828,0.9503805041313171,0.17120641469955444,0.0010000000474974513
6,0.9352309703826904,0.188938707113266,0.9509893655776978,0.1706438511610031,0.0010000000474974513
7,0.9334805011749268,0.1982533186674118,0.9500761032104492,0.17465144395828247,0.0010000000474974513
8,0.9356876611709595,0.18694423139095306,0.9503805041313171,0.17600363492965698,0.0005000000237487257
9,0.938579797744751,0.1788979470729828,0.9512937664985657,0.1690434217453003,0.0005000000237487257
10,0.9392647743225098,0.15461774170398712,0.9522070288658142,0.1640068143606186,0.0005000000237487257
11,0.9357637763023376,0.17649118602275848,0.9506849050521851,0.17011132836341858,0.0005000000237487257
12,0.9378948211669922,0.17688682675361633,0.9515981674194336,0.16237466037273407,0.0005000000237487257
13,0.9390364289283752,0.16661900281906128,0.9509893655776978,0.167156383395195,0.0002500000118743628
14,0.9378948211669922,0.1625245064496994,0.9519025683403015,0.16466239094734192,0.0002500000118743628
15,0.9423091411590576,0.15320968627929688,0.9522070288658142,0.15918555855751038,0.0002500000118743628
16,0.9397214651107788,0.16684000194072723,0.9515981674194336,0.16522198915481567,0.0002500000118743628
